date,phrase_id,phrase_en,meaning_ko,video_title,video_file,youtube_video_id,status
2026-08-19,E001,How's it going?,요즘 어때? / 잘 지내?,"""How's it going?"" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-19_E001.mp4,7BnblHtG7pA,uploaded
2026-08-19,E002,I'm on it.,지금 처리 중이야 / 바로 할게,"""I'm on it."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-19_E002.mp4,oKaBb5sojxE,uploaded
2026-08-19,E003,Let's call it a day.,오늘은 이만 끝내자,"""Let's call it a day."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-19_E003.mp4,7wDC1-ijRRU,uploaded
2026-08-19,E004,No worries.,괜찮아 / 신경 쓰지 마,"""No worries."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-19_E004.mp4,2avb9VIeEqU,uploaded
2026-08-20,E005,I couldn't agree more.,완전 동의해,"""I couldn't agree more."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-20_E005.mp4,9tJonf4MkyQ,uploaded
2026-08-20,E006,It's up to you.,네 마음대로 해 / 네가 정해,"""It's up to you."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-20_E006.mp4,tjhWda-Q2h0,uploaded
2026-08-20,E007,Long time no see.,오랜만이야,"""Long time no see."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-20_E007.mp4,wgwziTM8yo0,uploaded
2026-08-21,E008,I'm running late.,나 늦을 것 같아,"""I'm running late."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-21_E008.mp4,io52Z3g3di8,uploaded
2026-08-21,E009,That makes sense.,그거 말 되네 / 이해돼,"""That makes sense."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-21_E009.mp4,EvMXrJJMfCw,uploaded
2026-08-21,E010,I'll keep that in mind.,명심할게,"""I'll keep that in mind."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-21_E010.mp4,Ui16ZsNSqm8,uploaded
2026-08-21,E011,It's a piece of cake.,식은 죽 먹기야,"""It's a piece of cake."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-08-21_E011.mp4,__PaX30fLQ4,published
2026-08-22,E012,I'm all ears.,"다 듣고 있어, 말해봐","""I'm all ears."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-08-22_E012.mp4,Eou6FeAXm0A,published
