date,phrase_id,phrase_en,meaning_ko,video_title,video_file,youtube_video_id,status
2026-08-19,E001,How's it going?,요즘 어때? / 잘 지내?,"""How's it going?"" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-19_E001.mp4,7BnblHtG7pA,uploaded
2026-08-19,E002,I'm on it.,지금 처리 중이야 / 바로 할게,"""I'm on it."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-19_E002.mp4,oKaBb5sojxE,uploaded
2026-08-19,E003,Let's call it a day.,오늘은 이만 끝내자,"""Let's call it a day."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-19_E003.mp4,7wDC1-ijRRU,uploaded
2026-08-19,E004,No worries.,괜찮아 / 신경 쓰지 마,"""No worries."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-19_E004.mp4,2avb9VIeEqU,uploaded
2026-08-20,E005,I couldn't agree more.,완전 동의해,"""I couldn't agree more."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-20_E005.mp4,9tJonf4MkyQ,uploaded
2026-08-20,E006,It's up to you.,네 마음대로 해 / 네가 정해,"""It's up to you."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-20_E006.mp4,tjhWda-Q2h0,uploaded
2026-08-20,E007,Long time no see.,오랜만이야,"""Long time no see."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-20_E007.mp4,wgwziTM8yo0,uploaded
2026-08-21,E008,I'm running late.,나 늦을 것 같아,"""I'm running late."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-21_E008.mp4,io52Z3g3di8,uploaded
2026-08-21,E009,That makes sense.,그거 말 되네 / 이해돼,"""That makes sense."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-21_E009.mp4,EvMXrJJMfCw,uploaded
2026-08-21,E010,I'll keep that in mind.,명심할게,"""I'll keep that in mind."" 무슨 뜻일까? | 매일 영어 한마디",output/2026-08-21_E010.mp4,Ui16ZsNSqm8,uploaded
2026-08-21,E011,It's a piece of cake.,식은 죽 먹기야,"""It's a piece of cake."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-08-21_E011.mp4,__PaX30fLQ4,published
2026-08-22,E012,I'm all ears.,"다 듣고 있어, 말해봐","""I'm all ears."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-08-22_E012.mp4,Eou6FeAXm0A,published
2026-08-22,E013,Break a leg!,행운을 빌어! (공연·시험 전),"""Break a leg!"" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-08-22_E013.mp4,wPGr8oL28uI,published
2026-08-22,E014,Let me get back to you.,나중에 다시 알려줄게,"""Let me get back to you."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-08-22_E014.mp4,Nibu08bZiZ8,published
2026-09-01,E015,I'm just browsing.,그냥 구경하는 거예요,"""I'm just browsing."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-01_E015.mp4,FsQqKJom64E,published
2026-09-03,E016,It slipped my mind.,깜빡했어,"""It slipped my mind."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-03_E016.mp4,sB0jPN-6QXs,published
2026-09-03,E017,Take your time.,천천히 해,"""Take your time."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-03_E017.mp4,G0MsVqZfG88,published
2026-09-04,E018,I'm not sure yet.,아직 잘 모르겠어,"""I'm not sure yet."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-04_E018.mp4,guiHyJmS2Oo,published
2026-09-04,E019,Sounds good to me.,나는 좋아,"""Sounds good to me."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-04_E019.mp4,Z9ogHaCW-44,published
2026-09-04,E020,I owe you one.,신세 졌다,"""I owe you one."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-04_E020.mp4,krrKOr6sixk,published
